count,word,rank
3,barrier,1358.0
3,overwhelmed,1358.0
3,pop,1358.0
3,shut,1358.0
3,amongst,1358.0
3,threatening,1358.0
3,maintain,1358.0
3,difference,1358.0
3,based,1358.0
3,noticed,1358.0
3,guy,1358.0
3,breath,1358.0
3,yes,1358.0
3,voice,1358.0
3,paylow,1358.0
3,par,1358.0
3,cross,1358.0
3,outdated,1358.0
3,micro,1358.0
3,dinner,1358.0
3,card,1358.0
3,offs,1358.0
3,dangerous,1358.0
3,severe,1358.0
3,education,1358.0
3,circle,1358.0
3,apart,1358.0
3,retention,1358.0
3,event,1358.0
3,difficulty,1358.0
3,bend,1358.0
3,cabinet,1358.0
3,elsewhere,1358.0
3,tiny,1358.0
3,95,1358.0
3,hateful,1358.0
3,lady,1358.0
3,india,1358.0
3,grumpy,1358.0
3,into,1358.0
3,hamburger,1358.0
3,stealing,1358.0
3,paper,1358.0
3,heavily,1358.0
3,accident,1358.0
3,doctor,1358.0
3,market,1358.0
3,ant,1358.0
3,beeping,1358.0
3,involvement,1358.0
3,sight,1358.0
3,desirable,1358.0
3,argument,1358.0
3,corner,1358.0
3,sexist,1358.0
3,missing,1358.0
3,disregard,1358.0
3,cooperation,1358.0
3,granted,1358.0
3,this,1358.0
3,community,1358.0
3,supply,1358.0
3,why,1358.0
3,considering,1358.0
3,tiresome,1358.0
3,performed,1358.0
3,drag,1358.0
3,shared,1358.0
3,anybody,1358.0
3,authority,1358.0
3,sunday,1358.0
3,consistently,1358.0
3,played,1358.0
3,please,1358.0
3,exhausted,1358.0
3,mandatory,1358.0
3,garbage,1358.0
3,explain,1358.0
3,pleasant,1358.0
3,steal,1358.0
3,inefficient,1358.0
3,disappointment,1358.0
3,cussed,1358.0
3,client,1358.0
3,dull,1358.0
3,replacement,1358.0
3,careful,1358.0
3,intelligent,1358.0
3,middle,1358.0
3,whatsoever,1358.0
3,gossipy,1358.0
3,forgotten,1358.0
3,promoting,1358.0
3,ability,1358.0
3,mindless,1358.0
3,expecting,1358.0
3,located,1358.0
3,hassle,1358.0
3,helped,1358.0
3,challenge,1358.0
3,ordered,1358.0
3,severely,1358.0
3,hardest,1358.0
3,ave,1358.0
3,1am,1358.0
3,about,1358.0
3,enforce,1358.0
3,orientation,1358.0
3,video,1358.0
3,numerous,1358.0
3,promote,1358.0
3,beginning,1358.0
3,becoming,1358.0
3,reported,1358.0
3,evening,1358.0
3,applies,1358.0
3,somewhat,1358.0
3,subordinate,1358.0
3,contact,1358.0
3,dreadful,1358.0
3,french,1358.0
3,served,1358.0
3,applied,1358.0
3,stinky,1358.0
3,belittled,1358.0
3,layoff,1358.0
3,effect,1358.0
3,racism,1358.0
3,multitasking,1358.0
3,tho,1358.0
3,steady,1358.0
3,instance,1358.0
3,favortism,1358.0
3,trainee,1358.0
3,provided,1358.0
3,premium,1358.0
3,ratio,1358.0
3,somewhere,1358.0
3,permission,1358.0
3,pm,1358.0
3,butt,1358.0
3,million,1358.0
3,we,1358.0
3,obvious,1358.0
3,clique,1358.0
3,legally,1358.0
3,typically,1358.0
3,taught,1358.0
3,micromanaged,1358.0
3,crowded,1358.0
3,safe,1358.0
3,hat,1358.0
3,lol,1358.0
3,repair,1358.0
3,favor,1358.0
3,comprehend,1358.0
3,hygiene,1358.0
3,clue,1358.0
3,ga,1358.0
3,accept,1358.0
3,employed,1358.0
3,anyway,1358.0
3,receiving,1358.0
3,led,1358.0
3,mcdonald’s,1358.0
3,themselves,1358.0
3,unbearable,1358.0
3,irate,1358.0
3,sketchy,1358.0
3,concerned,1358.0
3,nowhere,1358.0
3,demanded,1358.0
3,witch,1358.0
3,by,1358.0
3,terribly,1358.0
3,rushing,1358.0
3,clothes,1358.0
3,competition,1358.0
3,quitting,1358.0
